CPU_Utilization,Disk_IO_Rate,Downtime (Hours),Log_ID,Memory_Utilization,Network_Traffic_In (MB/s),Network_Traffic_Out (MB/s),Server_Cluster_x,Server_ID,Timestamp,Uptime (Hours),Network_Throughput_MBps,Hostname,IP_Address,OS_Type,Server_Location,Admin_Name,Server_Cluster_y,Admin_Email,Admin_Phone,Anomaly_Flag
35.99,35.83,7.35,Station1_LOG00016,0.0,28.75,11.0,CL-3,SRV073,2025-08-01 08:12:00,981.86,19.875,host-073,10.0.191.2,Linux,New York,George,CL-3,george@xyzcorp.com,+1-202-749-4405,Normal
69.55,74.52,4.09,Station1_LOG00017,62.19,13.93,12.4,CL-3,SRV097,2025-08-02 22:20:00,225.95,13.165,host-097,10.0.44.225,Linux,New York,Diana,CL-3,diana@xyzcorp.com,+1-202-789-3073,Normal
76.61,49.33,0.18,Station1_LOG00018,30.5,0.86,13.82,CL-2,SRV071,2025-08-02 22:33:00,146.02,7.34,host-071,10.0.214.19,Linux,Frankfurt,Hannah,CL-2,hannah@xyzcorp.com,+1-202-151-5538,Normal
70.23,65.07,1.09,Station1_LOG00019,42.22,25.64,12.98,CL-9,SRV020,2025-08-02 20:18:00,656.71,19.310000000000002,host-020,10.0.236.93,Windows,London,Bob,CL-9,bob@xyzcorp.com,+1-202-691-4215,Normal
65.03,48.31,2.72,Station1_LOG00020,36.57,1.52,21.74,CL-3,SRV012,2025-08-02 15:09:00,804.1,11.629999999999999,host-012,10.0.183.117,Windows,Singapore,Fiona,CL-3,fiona@xyzcorp.com,+1-202-230-1591,Normal
59.5,0.0,4.74,Station1_LOG00021,88.15,3.42,0.68,CL-2,SRV071,2025-08-01 12:00:00,458.93,2.05,host-071,10.0.214.19,Linux,Frankfurt,Hannah,CL-2,hannah@xyzcorp.com,+1-202-151-5538,Normal
18.02,7.6,2.93,Station1_LOG00022,57.13,29.17,22.15,CL-8,SRV043,2025-08-02 06:13:00,906.9,25.66,host-043,10.0.177.175,Linux,Singapore,Bob,CL-8,bob@xyzcorp.com,+1-202-691-4215,Normal
79.66,40.72,8.79,Station1_LOG00023,71.04,18.96,14.48,CL-8,SRV094,2025-08-01 02:22:00,695.5,16.72,host-094,10.0.160.175,Linux,Singapore,Ethan,CL-8,ethan@xyzcorp.com,+1-202-853-1213,Normal
23.52,39.85,1.95,Station1_LOG00024,54.28,28.84,21.98,CL-4,SRV056,2025-08-01 10:38:00,949.75,25.41,host-056,10.0.140.244,Windows,New York,George,CL-4,george@xyzcorp.com,+1-202-749-4405,Normal
56.46,67.35,3.65,Station1_LOG00025,85.97,29.03,2.94,CL-9,SRV084,2025-08-01 17:37:00,996.11,15.985000000000001,host-084,10.0.44.81,Windows,Singapore,Bob,CL-9,bob@xyzcorp.com,+1-202-691-4215,Normal
51.64,9.36,8.82,Station1_LOG00026,33.77,4.08,24.31,CL-1,SRV070,2025-08-01 19:56:00,390.32,14.195,host-070,10.0.46.35,Linux,Singapore,Hannah,CL-1,hannah@xyzcorp.com,+1-202-151-5538,Normal
16.68,0.0,0.6,Station1_LOG00027,29.11,9.6,15.83,CL-10,SRV041,2025-08-01 14:24:00,942.46,12.715,host-041,10.0.187.69,Linux,Mumbai,Hannah,CL-10,hannah@xyzcorp.com,+1-202-151-5538,Normal
22.94,72.63,7.76,Station1_LOG00028,57.61,26.89,1.75,CL-3,SRV097,2025-08-02 14:09:00,286.72,14.32,host-097,10.0.44.225,Linux,New York,Diana,CL-3,diana@xyzcorp.com,+1-202-789-3073,Normal
13.77,12.54,9.14,Station1_LOG00029,66.45,1.67,21.44,CL-3,SRV097,2025-08-02 20:50:00,315.56,11.555,host-097,10.0.44.225,Linux,New York,Diana,CL-3,diana@xyzcorp.com,+1-202-789-3073,Normal
26.34,21.02,7.04,Station1_LOG00030,46.75,20.88,0.0,CL-4,SRV010,2025-08-02 21:57:00,462.45,10.44,host-010,10.0.44.34,Linux,London,Charlie,CL-4,charlie@xyzcorp.com,+1-202-817-1167,Normal
73.7,9.75,7.22,Station1_LOG00031,61.13,7.73,0.0,CL-1,SRV050,2025-08-01 11:31:00,121.22,3.865,host-050,10.0.187.128,Linux,Singapore,Alice,CL-1,alice@xyzcorp.com,+1-202-531-6896,Normal
12.96,0.0,0.79,Station1_LOG00032,22.55,7.81,13.85,CL-1,SRV050,2025-08-02 20:11:00,956.93,10.83,host-050,10.0.187.128,Linux,Singapore,Alice,CL-1,alice@xyzcorp.com,+1-202-531-6896,Normal
94.33,6.42,4.01,Station1_LOG00033,86.09,24.5,8.71,CL-4,SRV032,2025-08-01 23:09:00,175.52,16.605,host-032,10.0.47.156,Linux,New York,Diana,CL-4,diana@xyzcorp.com,+1-202-789-3073,High Load
52.48,50.47,4.0,Station1_LOG00034,36.36,5.17,4.15,CL-2,SRV026,2025-08-02 19:00:00,716.15,4.66,host-026,10.0.46.172,Linux,Frankfurt,Charlie,CL-2,charlie@xyzcorp.com,+1-202-817-1167,Normal
66.78,52.54,9.14,Station1_LOG00035,34.18,8.57,0.0,CL-10,SRV041,2025-08-02 07:08:00,967.49,4.285,host-041,10.0.187.69,Linux,Mumbai,Hannah,CL-10,hannah@xyzcorp.com,+1-202-151-5538,Normal
21.8,41.94,5.21,Station1_LOG00036,77.86,12.73,19.15,CL-5,SRV067,2025-08-01 06:04:00,662.34,15.94,host-067,10.0.93.42,Linux,Mumbai,Hannah,CL-5,hannah@xyzcorp.com,+1-202-151-5538,Normal
54.41,6.0,4.97,Station1_LOG00037,86.14,25.69,5.6,CL-6,SRV035,2025-08-02 05:07:00,939.05,15.645,host-035,10.0.136.46,Windows,Singapore,Bob,CL-6,bob@xyzcorp.com,+1-202-691-4215,Normal
38.5,63.02,2.06,Station1_LOG00038,79.03,3.23,8.65,CL-8,SRV043,2025-08-01 11:01:00,193.11,5.94,host-043,10.0.177.175,Linux,Singapore,Bob,CL-8,bob@xyzcorp.com,+1-202-691-4215,Normal
79.79,14.33,6.58,Station1_LOG00039,77.36,1.3,21.33,CL-8,SRV043,2025-08-02 04:15:00,679.94,11.315,host-043,10.0.177.175,Linux,Singapore,Bob,CL-8,bob@xyzcorp.com,+1-202-691-4215,Normal
41.26,31.04,0.48,Station1_LOG00040,50.29,21.96,4.52,CL-10,SRV082,2025-08-01 17:38:00,618.71,13.24,host-082,10.0.237.227,Windows,New York,Ethan,CL-10,ethan@xyzcorp.com,+1-202-853-1213,Normal
48.42,5.71,3.89,Station1_LOG00041,47.29,7.86,5.33,CL-6,SRV035,2025-08-01 14:55:00,133.36,6.595000000000001,host-035,10.0.136.46,Windows,Singapore,Bob,CL-6,bob@xyzcorp.com,+1-202-691-4215,Normal
69.11,40.93,1.36,Station1_LOG00042,53.03,27.66,20.9,CL-7,SRV011,2025-08-01 20:34:00,505.97,24.28,host-011,10.0.220.226,Windows,Singapore,Fiona,CL-7,fiona@xyzcorp.com,+1-202-230-1591,Normal
38.84,17.71,4.57,Station1_LOG00043,51.4,24.53,0.81,CL-9,SRV048,2025-08-01 10:07:00,318.05,12.67,host-048,10.0.64.1,Linux,Frankfurt,Fiona,CL-9,fiona@xyzcorp.com,+1-202-230-1591,Normal
54.02,56.77,5.73,Station1_LOG00044,62.73,20.54,7.41,CL-10,SRV082,2025-08-01 22:34:00,571.59,13.975,host-082,10.0.237.227,Windows,New York,Ethan,CL-10,ethan@xyzcorp.com,+1-202-853-1213,Normal
22.87,47.73,4.25,Station1_LOG00045,0.0,20.29,11.57,CL-3,SRV097,2025-08-01 15:06:00,955.94,15.93,host-097,10.0.44.225,Linux,New York,Diana,CL-3,diana@xyzcorp.com,+1-202-789-3073,Normal
18.01,28.88,4.48,Station1_LOG00046,62.41,0.97,6.98,CL-3,SRV074,2025-08-02 03:45:00,230.74,3.975,host-074,10.0.246.17,Windows,New York,Hannah,CL-3,hannah@xyzcorp.com,+1-202-151-5538,Normal
81.47,63.97,9.62,Station1_LOG00047,71.39,18.09,6.12,CL-10,SRV082,2025-08-01 21:25:00,520.48,12.105,host-082,10.0.237.227,Windows,New York,Ethan,CL-10,ethan@xyzcorp.com,+1-202-853-1213,Normal
84.35,71.62,6.02,Station1_LOG00048,63.6,24.14,22.31,CL-3,SRV012,2025-08-01 02:33:00,800.49,23.225,host-012,10.0.183.117,Windows,Singapore,Fiona,CL-3,fiona@xyzcorp.com,+1-202-230-1591,Normal
17.97,64.67,0.48,Station1_LOG00049,32.59,23.8,17.18,CL-10,SRV014,2025-08-01 10:53:00,909.97,20.490000000000002,host-014,10.0.7.78,Windows,Mumbai,Fiona,CL-10,fiona@xyzcorp.com,+1-202-230-1591,Normal
40.0,47.33,1.81,Station1_LOG00050,59.04,18.3,14.56,CL-7,SRV011,2025-08-02 23:15:00,386.62,16.43,host-011,10.0.220.226,Windows,Singapore,Fiona,CL-7,fiona@xyzcorp.com,+1-202-230-1591,Normal
86.23,46.29,0.49,Station1_LOG00051,0.0,5.01,7.45,CL-1,SRV050,2025-08-01 03:49:00,323.45,6.23,host-050,10.0.187.128,Linux,Singapore,Alice,CL-1,alice@xyzcorp.com,+1-202-531-6896,High Load
83.34,19.88,2.5,Station1_LOG00052,0.0,8.03,21.64,CL-1,SRV023,2025-08-01 01:07:00,931.27,14.835,host-023,10.0.60.118,Windows,Singapore,Diana,CL-1,diana@xyzcorp.com,+1-202-789-3073,Normal
32.0,22.94,8.22,Station1_LOG00053,57.22,15.91,3.81,CL-9,SRV020,2025-08-02 08:30:00,932.23,9.86,host-020,10.0.236.93,Windows,London,Bob,CL-9,bob@xyzcorp.com,+1-202-691-4215,Normal
30.43,22.21,2.8,Station1_LOG00054,20.54,2.34,18.77,CL-10,SRV014,2025-08-02 22:15:00,521.85,10.555,host-014,10.0.7.78,Windows,Mumbai,Fiona,CL-10,fiona@xyzcorp.com,+1-202-230-1591,Normal
45.17,54.21,9.14,Station1_LOG00055,59.13,2.35,11.64,CL-8,SRV001,2025-08-01 10:03:00,307.03,6.995,host-001,10.0.186.8,Windows,London,George,CL-8,george@xyzcorp.com,+1-202-749-4405,Normal
58.01,20.84,1.55,Station1_LOG00056,63.79,14.46,4.67,CL-9,SRV048,2025-08-02 22:59:00,899.03,9.565000000000001,host-048,10.0.64.1,Linux,Frankfurt,Fiona,CL-9,fiona@xyzcorp.com,+1-202-230-1591,Normal
23.22,35.78,3.98,Station1_LOG00057,33.61,3.81,2.63,CL-2,SRV028,2025-08-02 18:08:00,508.24,3.2199999999999998,host-028,10.0.151.99,Linux,Singapore,Fiona,CL-2,fiona@xyzcorp.com,+1-202-230-1591,Normal
91.01,76.93,8.97,Station1_LOG00058,77.01,20.85,6.33,CL-1,SRV077,2025-08-01 09:51:00,823.64,13.59,host-077,10.0.30.24,Linux,New York,Diana,CL-1,diana@xyzcorp.com,+1-202-789-3073,High Load
78.93,38.84,1.47,Station1_LOG00059,25.08,19.5,13.49,CL-10,SRV082,2025-08-01 01:15:00,367.89,16.495,host-082,10.0.237.227,Windows,New York,Ethan,CL-10,ethan@xyzcorp.com,+1-202-853-1213,Normal
84.36,75.04,0.7,Station1_LOG00060,28.7,26.84,18.78,CL-1,SRV050,2025-08-02 22:32:00,124.85,22.810000000000002,host-050,10.0.187.128,Linux,Singapore,Alice,CL-1,alice@xyzcorp.com,+1-202-531-6896,Normal
31.83,42.3,9.28,Station1_LOG00061,32.48,13.06,0.0,CL-2,SRV029,2025-08-01 10:55:00,549.39,6.53,host-029,10.0.94.201,Windows,Mumbai,George,CL-2,george@xyzcorp.com,+1-202-749-4405,Normal
11.1,50.78,6.37,Station1_LOG00062,39.73,6.52,17.16,CL-1,SRV078,2025-08-02 04:01:00,508.43,11.84,host-078,10.0.59.148,Linux,Singapore,George,CL-1,george@xyzcorp.com,+1-202-749-4405,Normal
56.21,61.32,6.83,Station1_LOG00063,44.83,23.62,4.63,CL-7,SRV027,2025-08-01 05:11:00,671.06,14.125,host-027,10.0.70.125,Linux,Singapore,Bob,CL-7,bob@xyzcorp.com,+1-202-691-4215,Normal
12.44,50.5,7.3,Station1_LOG00064,0.0,23.16,24.24,CL-2,SRV045,2025-08-02 19:51:00,776.32,23.7,host-045,10.0.248.214,Linux,New York,Charlie,CL-2,charlie@xyzcorp.com,+1-202-817-1167,Normal
50.26,14.44,8.38,Station1_LOG00065,76.1,3.25,13.32,CL-10,SRV063,2025-08-01 00:34:00,606.7,8.285,host-063,10.0.167.228,Windows,New York,Alice,CL-10,alice@xyzcorp.com,+1-202-531-6896,Normal
77.96,74.86,4.88,Station1_LOG00066,88.04,7.85,14.09,CL-10,SRV014,2025-08-02 09:59:00,395.38,10.969999999999999,host-014,10.0.7.78,Windows,Mumbai,Fiona,CL-10,fiona@xyzcorp.com,+1-202-230-1591,Normal
22.67,71.97,6.68,Station1_LOG00067,28.7,14.78,2.03,CL-7,SRV027,2025-08-01 20:13:00,513.87,8.405,host-027,10.0.70.125,Linux,Singapore,Bob,CL-7,bob@xyzcorp.com,+1-202-691-4215,Normal
40.92,22.55,0.22,Station1_LOG00068,31.2,21.94,18.74,CL-6,SRV040,2025-08-02 10:53:00,733.59,20.34,host-040,10.0.135.185,Windows,New York,Bob,CL-6,bob@xyzcorp.com,+1-202-691-4215,Normal
63.88,19.1,8.19,Station1_LOG00069,21.13,23.9,0.0,CL-1,SRV023,2025-08-02 23:40:00,499.99,11.95,host-023,10.0.60.118,Windows,Singapore,Diana,CL-1,diana@xyzcorp.com,+1-202-789-3073,Normal
53.06,0.0,9.73,Station1_LOG00070,61.87,10.54,9.45,CL-7,SRV031,2025-08-01 12:52:00,241.21,9.995,host-031,10.0.74.72,Linux,London,Bob,CL-7,bob@xyzcorp.com,+1-202-691-4215,Normal
38.4,15.25,3.7,Station1_LOG00071,27.48,28.45,16.69,CL-9,SRV084,2025-08-02 14:32:00,799.09,22.57,host-084,10.0.44.81,Windows,Singapore,Bob,CL-9,bob@xyzcorp.com,+1-202-691-4215,Normal
49.5,9.18,0.05,Station1_LOG00072,63.37,1.95,6.6,CL-3,SRV073,2025-08-01 13:54:00,887.46,4.2749999999999995,host-073,10.0.191.2,Linux,New York,George,CL-3,george@xyzcorp.com,+1-202-749-4405,Normal
74.79,79.92,3.22,Station1_LOG00073,0.0,5.95,21.4,CL-2,SRV091,2025-08-01 07:25:00,304.79,13.674999999999999,host-091,10.0.22.9,Windows,London,Hannah,CL-2,hannah@xyzcorp.com,+1-202-151-5538,Normal
89.44,31.89,3.7,Station1_LOG00074,26.08,14.13,16.64,CL-4,SRV032,2025-08-02 12:04:00,656.8,15.385000000000002,host-032,10.0.47.156,Linux,New York,Diana,CL-4,diana@xyzcorp.com,+1-202-789-3073,High Load
71.07,61.6,0.73,Station1_LOG00075,27.57,9.45,20.96,CL-9,SRV048,2025-08-02 20:39:00,668.99,15.205,host-048,10.0.64.1,Linux,Frankfurt,Fiona,CL-9,fiona@xyzcorp.com,+1-202-230-1591,Normal
68.11,47.83,0.15,Station1_LOG00076,88.93,9.31,2.49,CL-9,SRV066,2025-08-01 20:24:00,524.22,5.9,host-066,10.0.248.134,Linux,Frankfurt,Bob,CL-9,bob@xyzcorp.com,+1-202-691-4215,Normal
41.55,63.53,5.4,Station1_LOG00077,30.18,1.46,3.74,CL-4,SRV056,2025-08-01 09:26:00,521.52,2.6,host-056,10.0.140.244,Windows,New York,George,CL-4,george@xyzcorp.com,+1-202-749-4405,Normal
40.05,73.56,0.5,Station1_LOG00078,70.27,5.66,18.06,CL-3,SRV005,2025-08-02 18:49:00,138.34,11.86,host-005,10.0.39.146,Windows,New York,Diana,CL-3,diana@xyzcorp.com,+1-202-789-3073,Normal
61.88,21.65,3.09,Station1_LOG00079,60.47,4.39,17.93,CL-4,SRV081,2025-08-02 18:10:00,473.26,11.16,host-081,10.0.91.217,Windows,London,Ethan,CL-4,ethan@xyzcorp.com,+1-202-853-1213,Normal
78.39,49.95,7.93,Station1_LOG00080,48.66,2.0,6.76,CL-1,SRV008,2025-08-02 12:24:00,968.21,4.38,host-008,10.0.121.33,Linux,New York,Bob,CL-1,bob@xyzcorp.com,+1-202-691-4215,Normal
35.23,25.01,6.54,Station1_LOG00081,74.04,13.43,10.45,CL-9,SRV054,2025-08-01 11:11:00,560.85,11.94,host-054,10.0.204.57,Windows,Mumbai,Charlie,CL-9,charlie@xyzcorp.com,+1-202-817-1167,Normal
82.86,41.4,9.1,Station1_LOG00082,22.41,13.41,23.08,CL-1,SRV077,2025-08-02 15:07:00,459.66,18.244999999999997,host-077,10.0.30.24,Linux,New York,Diana,CL-1,diana@xyzcorp.com,+1-202-789-3073,Normal
87.94,15.65,0.32,Station1_LOG00083,0.0,26.71,1.03,CL-3,SRV073,2025-08-01 16:08:00,208.72,13.870000000000001,host-073,10.0.191.2,Linux,New York,George,CL-3,george@xyzcorp.com,+1-202-749-4405,High Load
62.8,28.52,2.31,Station1_LOG00084,68.46,17.89,13.55,CL-1,SRV078,2025-08-02 00:24:00,637.38,15.72,host-078,10.0.59.148,Linux,Singapore,George,CL-1,george@xyzcorp.com,+1-202-749-4405,Normal
44.54,66.53,8.6,Station1_LOG00085,87.98,16.71,12.26,CL-7,SRV046,2025-08-01 11:03:00,347.43,14.485,host-046,10.0.23.82,Linux,New York,George,CL-7,george@xyzcorp.com,+1-202-749-4405,Normal
59.26,59.39,6.83,Station1_LOG00086,22.47,16.94,1.8,CL-2,SRV016,2025-08-02 02:51:00,589.54,9.370000000000001,host-016,10.0.2.195,Windows,Mumbai,Charlie,CL-2,charlie@xyzcorp.com,+1-202-817-1167,Normal
75.4,70.36,2.8,Station1_LOG00087,24.75,9.52,11.63,CL-8,SRV094,2025-08-02 05:02:00,959.66,10.575,host-094,10.0.160.175,Linux,Singapore,Ethan,CL-8,ethan@xyzcorp.com,+1-202-853-1213,Normal
66.0,44.91,0.36,Station1_LOG00088,41.15,2.18,13.36,CL-1,SRV008,2025-08-02 22:44:00,768.04,7.77,host-008,10.0.121.33,Linux,New York,Bob,CL-1,bob@xyzcorp.com,+1-202-691-4215,Normal
39.67,70.11,1.96,Station1_LOG00089,25.42,19.26,10.34,CL-4,SRV032,2025-08-01 11:20:00,981.16,14.8,host-032,10.0.47.156,Linux,New York,Diana,CL-4,diana@xyzcorp.com,+1-202-789-3073,Normal
36.91,6.62,7.05,Station1_LOG00090,75.14,11.99,2.69,CL-9,SRV066,2025-08-02 07:37:00,365.47,7.34,host-066,10.0.248.134,Linux,Frankfurt,Bob,CL-9,bob@xyzcorp.com,+1-202-691-4215,Normal
60.36,51.27,5.95,Station1_LOG00091,50.0,6.31,20.47,CL-6,SRV034,2025-08-01 06:55:00,558.02,13.389999999999999,host-034,10.0.70.112,Linux,Singapore,Hannah,CL-6,hannah@xyzcorp.com,+1-202-151-5538,Normal
75.83,14.92,3.44,Station1_LOG00092,63.02,26.54,15.15,CL-6,SRV034,2025-08-01 15:43:00,490.92,20.845,host-034,10.0.70.112,Linux,Singapore,Hannah,CL-6,hannah@xyzcorp.com,+1-202-151-5538,Normal
85.95,35.61,3.96,Station1_LOG00093,26.79,18.72,14.45,CL-10,SRV014,2025-08-02 07:21:00,777.27,16.585,host-014,10.0.7.78,Windows,Mumbai,Fiona,CL-10,fiona@xyzcorp.com,+1-202-230-1591,High Load
14.05,32.16,6.36,Station1_LOG00094,64.27,26.33,18.04,CL-9,SRV066,2025-08-02 11:34:00,741.29,22.185,host-066,10.0.248.134,Linux,Frankfurt,Bob,CL-9,bob@xyzcorp.com,+1-202-691-4215,Normal
59.69,63.98,1.54,Station1_LOG00095,38.51,22.95,3.57,CL-7,SRV031,2025-08-01 12:33:00,134.69,13.26,host-031,10.0.74.72,Linux,London,Bob,CL-7,bob@xyzcorp.com,+1-202-691-4215,Normal
44.96,76.64,0.21,Station1_LOG00096,54.8,19.44,16.12,CL-1,SRV008,2025-08-02 00:19:00,917.43,17.78,host-008,10.0.121.33,Linux,New York,Bob,CL-1,bob@xyzcorp.com,+1-202-691-4215,Normal
84.65,21.06,7.81,Station1_LOG00097,66.29,16.59,4.71,CL-6,SRV034,2025-08-02 16:07:00,680.47,10.65,host-034,10.0.70.112,Linux,Singapore,Hannah,CL-6,hannah@xyzcorp.com,+1-202-151-5538,Normal
49.8,73.09,4.19,Station1_LOG00098,89.85,26.34,2.49,CL-2,SRV028,2025-08-01 15:58:00,384.41,14.415,host-028,10.0.151.99,Linux,Singapore,Fiona,CL-2,fiona@xyzcorp.com,+1-202-230-1591,Normal
78.12,7.22,0.29,Station1_LOG00099,52.25,24.99,11.75,CL-4,SRV081,2025-08-02 21:44:00,447.65,18.369999999999997,host-081,10.0.91.217,Windows,London,Ethan,CL-4,ethan@xyzcorp.com,+1-202-853-1213,Normal
50.36,47.08,1.47,Station1_LOG00100,0.0,20.03,21.85,CL-8,SRV094,2025-08-01 09:47:00,388.56,20.94,host-094,10.0.160.175,Linux,Singapore,Ethan,CL-8,ethan@xyzcorp.com,+1-202-853-1213,Normal
17.2,77.36,9.85,Station1_LOG00101,88.34,29.48,5.29,CL-2,SRV071,2025-08-01 17:55:00,373.43,17.385,host-071,10.0.214.19,Linux,Frankfurt,Hannah,CL-2,hannah@xyzcorp.com,+1-202-151-5538,Normal
68.91,50.74,6.24,Station1_LOG00102,70.23,12.65,6.94,CL-2,SRV091,2025-08-02 05:39:00,705.75,9.795,host-091,10.0.22.9,Windows,London,Hannah,CL-2,hannah@xyzcorp.com,+1-202-151-5538,Normal
43.89,27.13,2.88,Station1_LOG00103,78.21,19.71,2.35,CL-9,SRV084,2025-08-02 15:06:00,763.47,11.030000000000001,host-084,10.0.44.81,Windows,Singapore,Bob,CL-9,bob@xyzcorp.com,+1-202-691-4215,Normal
27.42,0.0,8.63,Station1_LOG00104,37.72,0.55,11.51,CL-10,SRV063,2025-08-02 10:26:00,373.44,6.03,host-063,10.0.167.228,Windows,New York,Alice,CL-10,alice@xyzcorp.com,+1-202-531-6896,Normal
64.72,16.6,7.67,Station1_LOG00105,45.38,10.82,14.86,CL-2,SRV029,2025-08-02 15:09:00,398.63,12.84,host-029,10.0.94.201,Windows,Mumbai,George,CL-2,george@xyzcorp.com,+1-202-749-4405,Normal
32.24,51.38,6.93,Station1_LOG00106,35.64,25.36,6.28,CL-6,SRV034,2025-08-01 04:09:00,876.1,15.82,host-034,10.0.70.112,Linux,Singapore,Hannah,CL-6,hannah@xyzcorp.com,+1-202-151-5538,Normal
35.4,63.78,2.01,Station1_LOG00107,89.66,23.01,16.25,CL-6,SRV035,2025-08-02 16:55:00,306.24,19.630000000000003,host-035,10.0.136.46,Windows,Singapore,Bob,CL-6,bob@xyzcorp.com,+1-202-691-4215,Normal
27.94,68.49,3.55,Station1_LOG00108,50.5,10.98,15.68,CL-3,SRV012,2025-08-02 20:25:00,569.31,13.33,host-012,10.0.183.117,Windows,Singapore,Fiona,CL-3,fiona@xyzcorp.com,+1-202-230-1591,Normal
44.11,56.17,1.9,Station1_LOG00109,87.94,28.52,12.54,CL-1,SRV089,2025-08-02 08:11:00,108.68,20.53,host-089,10.0.225.14,Windows,Frankfurt,Hannah,CL-1,hannah@xyzcorp.com,+1-202-151-5538,Normal
88.66,59.18,7.36,Station1_LOG00110,85.42,26.55,12.77,CL-2,SRV045,2025-08-01 07:09:00,124.2,19.66,host-045,10.0.248.214,Linux,New York,Charlie,CL-2,charlie@xyzcorp.com,+1-202-817-1167,High Load
54.48,28.83,8.01,Station1_LOG00111,46.96,28.11,0.0,CL-4,SRV086,2025-08-01 00:05:00,895.3,14.055,host-086,10.0.41.192,Linux,New York,Hannah,CL-4,hannah@xyzcorp.com,+1-202-151-5538,Normal
